pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Z jakiego dnia pochodzi ustawa o pracownikach samorządowych?,21 listopada 2008 r.,8 marca 1990 r.,5 czerwca 1998 r.,1 stycznia 2009 r.,1,Tytuł ustawy wskazuje datę 21 listopada 2008 r.
Jaki jest podstawowy cel ustawy o pracownikach samorządowych?,Uregulowanie wyłącznie wynagrodzeń wójtów,"Zapewnienie zawodowego, rzetelnego i bezstronnego wykonywania zadań publicznych przez samorząd terytorialny",Określenie zasad wyborów samorządowych,Uregulowanie wyłącznie odpowiedzialności dyscyplinarnej,2,"Art. 1 wskazuje, że ustawa ustanawia przepisy prawa pracy określające status prawny pracowników samorządowych w tym celu."
Czy ustawa stosuje się do pracowników urzędów gmin?,Nie,Tylko do sekretarza gminy,Tak,Wyłącznie do pracowników zatrudnionych z wyboru,3,Art. 2 wymienia urzędy gmin wśród jednostek objętych ustawą.
Czy ustawa stosuje się do pracowników starostw powiatowych?,Nie,Wyłącznie do starosty,Tylko do pracowników pomocniczych,Tak,4,Art. 2 obejmuje pracowników starostw powiatowych.
Czy ustawa stosuje się do pracowników urzędów marszałkowskich?,Tak,Nie,Tylko do marszałka województwa,Wyłącznie do pracowników na stanowiskach kierowniczych,1,Art. 2 obejmuje pracowników urzędów marszałkowskich.
Czy ustawa stosuje się do pracowników jednostek pomocniczych gmin?,Nie,Tak,Tylko do sołtysów,Wyłącznie do dzielnic m.st. Warszawy,2,Art. 2 pkt 3 wymienia jednostki pomocnicze gmin.
Kiedy przepisów ustawy o pracownikach samorządowych nie stosuje się do osoby zatrudnionej w jednostce samorządowej?,Gdy jest zatrudniona dłużej niż 5 lat,Gdy jest członkiem związku zawodowego,Gdy jej status prawny określają odrębne przepisy,Gdy pracuje w niepełnym wymiarze czasu,3,"Art. 3 wyłącza osoby, których status prawny regulują odrębne przepisy."
"Na jakiej podstawie zatrudniany jest wójt, burmistrz lub prezydent miasta?",Na podstawie powołania,Na podstawie umowy o pracę,Na podstawie mianowania,Na podstawie wyboru,4,Art. 4 ust. 1 pkt 1 lit. c zalicza wójta do pracowników zatrudnianych na podstawie wyboru.
Na jakiej podstawie zatrudniany jest zastępca wójta?,Na podstawie powołania,Na podstawie wyboru,Na podstawie mianowania,Wyłącznie na podstawie umowy o pracę na czas określony,1,Art. 4 ust. 1 pkt 2 wskazuje powołanie jako podstawę zatrudnienia zastępcy wójta.
Na jakiej podstawie zatrudniany jest skarbnik gminy?,Na podstawie wyboru,Na podstawie powołania,Na podstawie mianowania,Na podstawie kontraktu cywilnoprawnego,2,Art. 4 ust. 1 pkt 2 przewiduje zatrudnienie skarbnika gminy na podstawie powołania.
Na jakiej podstawie są zatrudniani pozostali pracownicy samorządowi niewymienieni jako zatrudniani z wyboru lub powołania?,Na podstawie mianowania,Na podstawie wyboru,Na podstawie umowy o pracę,Na podstawie kontraktu menedżerskiego,3,Art. 4 ust. 1 pkt 3 wskazuje umowę o pracę.
Na jakich grupach stanowisk zatrudnia się pracowników samorządowych?,Wyłącznie na stanowiskach urzędniczych,Tylko na stanowiskach kierowniczych,Wyłącznie na stanowiskach administracyjnych i technicznych,"Na stanowiskach urzędniczych, w tym kierowniczych, oraz pomocniczych i obsługi",4,Art. 4 ust. 2 wyróżnia stanowiska urzędnicze oraz stanowiska pomocnicze i obsługi.
Kto ustala wynagrodzenie osoby wyznaczonej przez Prezesa Rady Ministrów do pełnienia funkcji organu jednostki samorządu terytorialnego?,Prezes Rady Ministrów,Rada gminy,Wojewoda,Minister właściwy do spraw administracji publicznej,1,"Art. 4 ust. 4 stanowi, że wynagrodzenie takiej osoby ustala Prezes Rady Ministrów."
Czy w urzędzie gminy tworzy się stanowisko sekretarza gminy?,Nie,Tak,Tylko w gminie powyżej 20 000 mieszkańców,Wyłącznie w mieście na prawach powiatu,2,Art. 5 ust. 1 nakazuje utworzenie stanowiska sekretarza.
