pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Z jakiego dnia pochodzi ustawa o samorządzie gminnym?,8 marca 1990 r.,27 maja 1990 r.,5 czerwca 1998 r.,14 czerwca 1960 r.,1,Tytuł ustawy wskazuje datę 8 marca 1990 r.
Kto tworzy z mocy prawa wspólnotę samorządową gminy?,Radni gminy,Mieszkańcy gminy,Pracownicy urzędu gminy,Wyłącznie osoby zameldowane na pobyt stały,2,"Art. 1 stanowi, że mieszkańcy gminy tworzą z mocy prawa wspólnotę samorządową."
Co oznacza pojęcie „gmina” w rozumieniu ustawy?,Wyłącznie urząd gminy,Wyłącznie radę gminy,Wspólnotę samorządową oraz odpowiednie terytorium,Jedynie obszar administracyjny,3,Art. 1 ust. 2 łączy w pojęciu gminy wspólnotę samorządową i odpowiednie terytorium.
W czyim imieniu gmina wykonuje zadania publiczne?,W imieniu wojewody,Wyłącznie w imieniu Skarbu Państwa,W imieniu rady powiatu,We własnym imieniu i na własną odpowiedzialność,4,"Art. 2 ust. 1 stanowi, że gmina wykonuje zadania publiczne we własnym imieniu i na własną odpowiedzialność."
Czy gmina posiada osobowość prawną?,Tak,Nie,Tylko miasto na prawach powiatu,Tylko po wpisie do KRS,1,Art. 2 ust. 2 przyznaje gminie osobowość prawną.
Jakiej ochronie podlega samodzielność gminy?,Wyłącznie ochronie wojewody,Ochronie sądowej,Ochronie Prezesa Rady Ministrów bez kontroli sądowej,Nie podlega szczególnej ochronie,2,"Art. 2 ust. 3 stanowi, że samodzielność gminy podlega ochronie sądowej."
Jaki akt stanowi o ustroju gminy?,Regulamin organizacyjny urzędu,Uchwała budżetowa,Statut gminy,Zarządzenie wojewody,3,Art. 3 ust. 1 wskazuje statut gminy jako akt określający jej ustrój.
Projekt statutu gminy o jakiej liczbie mieszkańców podlega uzgodnieniu z Prezesem Rady Ministrów?,Powyżej 50 000 mieszkańców,Powyżej 100 000 mieszkańców,Każdej gminy,Powyżej 300 000 mieszkańców,4,Art. 3 ust. 2 przewiduje uzgodnienie projektu statutu gminy powyżej 300 000 mieszkańców.
"Kto tworzy, łączy, dzieli i znosi gminy oraz ustala ich granice?",Rada Ministrów w drodze rozporządzenia,Wojewoda w drodze zarządzenia,Sejmik województwa,Rada powiatu,1,Art. 4 ust. 1 powierza te kompetencje Radzie Ministrów.
"Z jakim dniem następują zmiany dotyczące tworzenia, łączenia, dzielenia lub znoszenia gmin oraz ich granic?",Z dniem 1 marca,Z dniem 1 stycznia,Z dniem ogłoszenia rozporządzenia,Z początkiem kadencji rady,2,"Art. 4 ust. 5 stanowi, że zmiany te następują z dniem 1 stycznia."
Po ilu miesiącach brak opinii rady gminy w sprawie zmian granic uważa się za spełnienie wymogu zasięgnięcia opinii?,Po 14 dniach,Po 30 dniach,Po 3 miesiącach,Po 6 miesiącach,3,Art. 4a ust. 3 przewiduje termin 3 miesięcy.
"Do jakiego dnia rada gminy może wystąpić z wnioskiem o zmianę granic, utworzenie, połączenie, podział lub zniesienie gminy albo nadanie statusu miasta (art. 4 ust. 1)?",Do 31 stycznia,Do 30 czerwca,Do 30 września,Do 31 marca,4,Art. 4b ust. 3 przewiduje termin do 31 marca.
"Czy w sprawie utworzenia, połączenia, podziału, zniesienia gminy lub ustalenia jej granic może być przeprowadzone referendum lokalne z inicjatywy mieszkańców?",Tak,Nie,Tylko za zgodą wojewody,Wyłącznie w mieście na prawach powiatu,1,Art. 4c ust. 1 dopuszcza referendum lokalne z inicjatywy mieszkańców.
Kto dokonuje analizy przesłanek uniemożliwiających referendum dotyczące podziału lub nowych granic gminy?,Rada gminy,Właściwy wojewoda,Prezes Rady Ministrów,Regionalna izba obrachunkowa,2,Art. 4c ust. 4 powierza tę analizę właściwemu wojewodzie.
Kto wyznacza pełnomocnika do spraw połączenia gmin lub utworzenia nowej gminy?,Wojewoda samodzielnie,Minister finansów,Prezes Rady Ministrów,Rada gminy,3,Art. 4e ust. 1 przewiduje wyznaczenie pełnomocnika przez Prezesa Rady Ministrów.
"Na jaki maksymalny okres po połączeniu gmin zachowują moc dotychczasowe akty prawa miejscowego, jeśli wcześniej nie zostaną zastąpione?",1 rok,5 lat,Do końca kadencji rady,3 lata,4,Art. 4ea ust. 5 przewiduje maksymalny okres 3 lat.
Jakie jednostki pomocnicze może tworzyć gmina?,"Sołectwa, dzielnice, osiedla i inne jednostki pomocnicze",Wyłącznie sołectwa,Wyłącznie dzielnice i osiedla,Tylko powiaty,1,"Art. 5 ust. 1 przewiduje sołectwa, dzielnice, osiedla i inne jednostki pomocnicze."
Kto tworzy jednostkę pomocniczą gminy?,Wójt w drodze zarządzenia,Rada gminy w drodze uchwały,Wojewoda w drodze decyzji,Starosta,2,Art. 5 ust. 2 powierza utworzenie jednostki pomocniczej radzie gminy.
Co jest szczególną formą konsultacji społecznych w gminie?,Referendum ogólnokrajowe,Absolutorium,Budżet obywatelski,Kontrola RIO,3,Art. 5a ust. 3 określa budżet obywatelski jako szczególną formę konsultacji społecznych.
Kto corocznie decyduje w bezpośrednim głosowaniu o części wydatków budżetu gminy w ramach budżetu obywatelskiego?,Rada gminy,Wójt,Regionalna izba obrachunkowa,Mieszkańcy,4,Art. 5a ust. 4 przyznaje tę kompetencję mieszkańcom.
Czy rada gminy może istotnie zmienić zadania wybrane przez mieszkańców w ramach budżetu obywatelskiego?,Nie,"Tak, bez ograniczeń","Tak, za zgodą wojewody","Tak, jeśli zmiana nie przekracza 50% wartości",1,Art. 5a ust. 4 zabrania radzie usuwać lub istotnie zmieniać wybrane zadania.
W jakich gminach budżet obywatelski jest obowiązkowy?,We wszystkich gminach,W gminach będących miastami na prawach powiatu,Tylko w gminach wiejskich,Tylko w gminach powyżej 20 000 mieszkańców,2,Art. 5a ust. 5 wprowadza obowiązek budżetu obywatelskiego w miastach na prawach powiatu.
Ile co najmniej wynosi budżet obywatelski w mieście na prawach powiatu?,"0,1% dochodów gminy",1% dochodów własnych,"0,5% wydatków gminy z ostatniego przedłożonego sprawozdania z wykonania budżetu",5% wydatków inwestycyjnych,3,"Art. 5a ust. 5 ustala minimum na poziomie 0,5% wydatków gminy."
Jaka może być maksymalna wymagana liczba podpisów popierających projekt budżetu obywatelskiego?,1% mieszkańców całej gminy,5% mieszkańców dzielnicy,1000 podpisów niezależnie od liczby mieszkańców,"0,1% mieszkańców terenu objętego daną pulą",4,"Art. 5a ust. 7 pkt 2 ogranicza liczbę wymaganych podpisów do 0,1% mieszkańców danego terenu."
Jaki charakter ma młodzieżowa rada gminy?,"Konsultacyjny, doradczy i inicjatywny",Wyłącznie kontrolny,Stanowiący i kontrolny,Wykonawczy,1,"Art. 5b ust. 5 określa jej charakter jako konsultacyjny, doradczy i inicjatywny."
W jakim terminie rada gminy rozpatruje wniosek o utworzenie młodzieżowej rady gminy?,14 dni,Nie dłuższym niż 3 miesiące,30 dni,6 miesięcy,2,Art. 5b ust. 3 przewiduje termin nie dłuższy niż 3 miesiące.
W jakim terminie wójt powinien odpowiedzieć na zapytanie lub wniosek młodzieżowej rady gminy?,7 dni,14 dni,30 dni,60 dni,3,Art. 5b ust. 7 przewiduje pisemną odpowiedź nie później niż w terminie 30 dni.
Kto zapewnia obsługę administracyjno-biurową młodzieżowej rady gminy?,Starostwo powiatowe,Urząd wojewódzki,Rada powiatu,Urząd gminy,4,Art. 5b ust. 15 powierza obsługę urzędowi gminy.
Jaki charakter ma gminna rada seniorów?,"Konsultacyjny, doradczy i inicjatywny",Wyłącznie wykonawczy,Stanowiący,Kontrolny wobec wójta,1,Art. 5c ust. 3 określa charakter gminnej rady seniorów.
Ilu mieszkańców w wieku co najmniej 60 lat może skutecznie złożyć wniosek o utworzenie rady seniorów w gminie do 20 000 mieszkańców?,Co najmniej 20,Co najmniej 50,Co najmniej 100,Co najmniej 200,2,Art. 5c ust. 2a pkt 1 wskazuje co najmniej 50 mieszkańców.
Ilu mieszkańców w wieku co najmniej 60 lat może skutecznie złożyć wniosek o utworzenie rady seniorów w gminie powyżej 20 000 mieszkańców?,Co najmniej 20,Co najmniej 50,Co najmniej 100,Co najmniej 300,3,Art. 5c ust. 2a pkt 2 wskazuje co najmniej 100 mieszkańców.
W jakim terminie wójt powinien odpowiedzieć na uchwałę gminnej rady seniorów zawierającą zapytanie lub wniosek?,7 dni,14 dni,2 miesiące,30 dni,4,Art. 5c ust. 3a przewiduje odpowiedź na piśmie w terminie do 30 dni.
Jakie sprawy należą do zakresu działania gminy?,"Wszystkie sprawy publiczne o znaczeniu lokalnym, niezastrzeżone ustawami na rzecz innych podmiotów",Wyłącznie sprawy wskazane przez wojewodę,Tylko sprawy podatkowe,Wyłącznie sprawy zlecone przez administrację rządową,1,Art. 6 ust. 1 ustanawia domniemanie właściwości gminy w sprawach publicznych o znaczeniu lokalnym.
Do jakiej kategorii zadań gminy należy zaspokajanie zbiorowych potrzeb wspólnoty?,Wyłącznie do zadań zleconych,Do zadań własnych,Do zadań wojewody,Do zadań powiatu,2,"Art. 7 ust. 1 stanowi, że zaspokajanie zbiorowych potrzeb wspólnoty należy do zadań własnych gminy."
Czy ochrona środowiska i przyrody należy do zadań własnych gminy?,Nie,Tylko w mieście na prawach powiatu,Tak,Wyłącznie na podstawie porozumienia z RDOŚ,3,Art. 7 ust. 1 pkt 1 wymienia ochronę środowiska i przyrody wśród zadań własnych.
Czy gospodarka wodna należy do zadań własnych gminy?,Nie,Tylko na terenach wiejskich,Wyłącznie jako zadanie zlecone,Tak,4,Art. 7 ust. 1 pkt 1 obejmuje także gospodarkę wodną.
Czy zieleń gminna i zadrzewienia należą do zadań własnych gminy?,Tak,Nie,Tylko gdy gmina ma park miejski,Wyłącznie w mieście na prawach powiatu,1,Art. 7 ust. 1 pkt 12 wymienia zieleń gminną i zadrzewienia.
Czy promocja gminy jest zadaniem własnym?,Nie,Tak,Tylko na podstawie uchwały sejmiku,Wyłącznie jako zadanie zlecone,2,Art. 7 ust. 1 pkt 18 wymienia promocję gminy.
"Kto określa, które zadania własne gminy mają charakter obowiązkowy?",Wójt,Rada gminy według uznania,Ustawy,Wojewoda,3,"Art. 7 ust. 2 stanowi, że określają to ustawy."
Co jest wymagane przy przekazaniu gminie ustawą nowych zadań własnych?,Zgoda wszystkich mieszkańców,Referendum lokalne,Uchwała sejmiku województwa,Zapewnienie koniecznych środków finansowych,4,Art. 7 ust. 3 wymaga zapewnienia środków w postaci zwiększenia dochodów własnych lub subwencji.
Czy ustawy mogą nakładać na gminę zadania zlecone z zakresu administracji rządowej?,Tak,Nie,Tylko za zgodą rady gminy,Wyłącznie na czas stanu nadzwyczajnego,1,Art. 8 ust. 1 dopuszcza ustawowe nałożenie takich zadań.
