pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Z jakiego dnia pochodzi ustawa o lasach?,28 września 1991 r.,16 kwietnia 2004 r.,27 kwietnia 2001 r.,3 października 2008 r.,1,"Tytuł ustawy wskazuje, że została uchwalona 28 września 1991 r."
Do jakich lasów stosuje się przepisy ustawy o lasach?,Wyłącznie do lasów Skarbu Państwa.,Do lasów bez względu na formę ich własności.,Wyłącznie do lasów prywatnych.,Wyłącznie do lasów w parkach narodowych.,2,"Art. 2 stanowi, że przepisy ustawy stosuje się do lasów bez względu na formę własności."
"Jaka jest minimalna zwarta powierzchnia gruntu, aby mógł on być lasem w rozumieniu art. 3 pkt 1?","0,05 ha","0,50 ha","0,10 ha",1 ha,3,"Art. 3 wskazuje zwartą powierzchnię co najmniej 0,10 ha."
Czy grunt przejściowo pozbawiony roślinności leśnej może być lasem w rozumieniu ustawy?,"Nie, nigdy.","Tak, ale wyłącznie przez 1 rok.","Tak, wyłącznie gdy stanowi własność Skarbu Państwa.","Tak, jeżeli spełnia pozostałe warunki wskazane w art. 3.",4,"Definicja lasu obejmuje także grunt przejściowo pozbawiony roślinności leśnej, jeśli spełnia ustawowe przesłanki."
Kto co do zasady zarządza lasami stanowiącymi własność Skarbu Państwa?,Państwowe Gospodarstwo Leśne Lasy Państwowe,Starosta,Generalny Dyrektor Ochrony Środowiska,Wojewoda,1,Art. 4 ust. 1 powierza zarząd lasami Skarbu Państwa Lasom Państwowym.
Kto sprawuje nadzór nad Lasami Państwowymi?,Prezes Rady Ministrów,Minister właściwy do spraw środowiska,Starosta,Marszałek województwa,2,Art. 4 ust. 4 wskazuje ministra właściwego do spraw środowiska.
Kto sprawuje nadzór nad gospodarką leśną w lasach stanowiących własność Skarbu Państwa?,Starosta,Wojewoda,Minister właściwy do spraw środowiska,Dyrektor parku narodowego,3,Art. 5 ust. 1 pkt 1 powierza ten nadzór ministrowi właściwemu do spraw środowiska.
Kto sprawuje nadzór nad gospodarką leśną w lasach niestanowiących własności Skarbu Państwa?,Wójt,Minister właściwy do spraw środowiska,Nadleśniczy z mocy ustawy w każdym przypadku,Starosta,4,Art. 5 ust. 1 pkt 2 wskazuje starostę.
Komu starosta może powierzyć prowadzenie w jego imieniu spraw z zakresu nadzoru nad lasami niepaństwowymi?,Nadleśniczemu Lasów Państwowych,Wójtowi,Dyrektorowi parku narodowego,Marszałkowi województwa,1,Art. 5 ust. 3 pozwala staroście powierzyć te sprawy nadleśniczemu w drodze porozumienia.
Co obejmuje gospodarka leśna według ustawowej definicji?,Wyłącznie pozyskiwanie drewna.,"M.in. urządzanie, ochronę i zagospodarowanie lasu, pozyskiwanie określonych produktów oraz realizację pozaprodukcyjnych funkcji lasu.",Wyłącznie ochronę przeciwpożarową.,Wyłącznie sprzedaż produktów leśnych.,2,"Definicja gospodarki leśnej w art. 6 ma szeroki zakres i obejmuje zarówno funkcje produkcyjne, jak i pozaprodukcyjne."
Czym jest plan urządzenia lasu?,Wyłącznie mapą ewidencyjną lasu.,Decyzją administracyjną o przeznaczeniu gruntu.,"Podstawowym dokumentem gospodarki leśnej zawierającym opis i ocenę stanu lasu oraz cele, zadania i sposoby prowadzenia gospodarki leśnej.",Dokumentem dotyczącym wyłącznie pozyskania drewna.,3,Art. 6 definiuje plan urządzenia lasu jako podstawowy dokument gospodarki leśnej.
Dla jakiego lasu opracowuje się uproszczony plan urządzenia lasu według definicji z art. 6?,Dla każdego lasu powyżej 1 ha.,Wyłącznie dla lasu Skarbu Państwa.,Dla lasu o powierzchni nie większej niż 10 ha.,Dla lasu o obszarze co najmniej 10 ha stanowiącego zwarty kompleks leśny.,4,Ustawowa definicja uproszczonego planu wskazuje zwarty kompleks leśny o powierzchni co najmniej 10 ha.
Czym są drogi leśne w rozumieniu ustawy?,"Drogami położonymi w lasach, niebędącymi drogami publicznymi.",Każdymi drogami publicznymi przebiegającymi przez las.,Wyłącznie drogami przeciwpożarowymi.,Drogami pozostającymi zawsze własnością gminy.,1,"Art. 6 definiuje drogi leśne jako drogi położone w lasach, które nie są drogami publicznymi."
Czym jest etat cięć?,Maksymalną liczbą pracowników nadleśnictwa.,Ilością drewna do pozyskania określoną w planie urządzenia lasu lub uproszczonym planie urządzenia lasu.,Powierzchnią przeznaczoną do zalesienia.,Wysokością opłaty za pozyskanie drewna.,2,"Etat cięć to ilość drewna do pozyskania wynikająca z potrzeb odnowienia, pielęgnowania i ochrony lasu oraz zasady trwałości użytkowania."
Czym jest program ochrony przyrody w rozumieniu ustawy o lasach?,Osobnym rozporządzeniem ministra.,Uchwałą rady gminy.,"Częścią planu urządzenia lasu obejmującą opis stanu przyrody, zadania ochronne i metody ich realizacji.",Wyłącznie wykazem gatunków chronionych.,3,"Art. 6 wskazuje, że program ochrony przyrody jest częścią planu urządzenia lasu."
Według jakich dokumentów prowadzi się trwale zrównoważoną gospodarkę leśną?,Wyłącznie według miejscowego planu zagospodarowania przestrzennego.,Wyłącznie według decyzji starosty.,Wyłącznie według rocznego planu finansowego.,Według planu urządzenia lasu lub uproszczonego planu urządzenia lasu.,4,Art. 7 ust. 1 odwołuje się do planu urządzenia lasu albo uproszczonego planu urządzenia lasu.
