pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
"Z jakiego dnia pochodzi ustawa o udostępnianiu informacji o środowisku, udziale społeczeństwa i OOŚ?",3 października 2008 r.,16 kwietnia 2004 r.,27 kwietnia 2001 r.,14 czerwca 1960 r.,1,Tytuł ustawy wskazuje datę 3 października 2008 r.
Którego zagadnienia ustawa NIE wymienia w art. 1 jako jednego z głównych przedmiotów regulacji?,Udostępniania informacji o środowisku,Zasad prowadzenia gospodarki leśnej,Ocen oddziaływania na środowisko,Udziału społeczeństwa w ochronie środowiska,2,"Art. 1 reguluje dostęp do informacji, OOŚ, oddziaływanie transgraniczne i udział społeczeństwa, a nie gospodarkę leśną."
Czy przepisy ustawy stosuje się co do zasady do spraw uregulowanych w Prawie atomowym?,"Tak, bez żadnych wyjątków","Nie, bez wyjątku także dla działu II","Nie, z wyjątkiem działu II",Tylko za zgodą Prezesa Państwowej Agencji Atomistyki,3,Art. 2 ust. 2 wyłącza takie sprawy z wyjątkiem działu II dotyczącego informacji o środowisku.
Czym jest inwentaryzacja przyrodnicza w rozumieniu ustawy?,Publicznym wykazem decyzji środowiskowych,Planem ochrony obszaru Natura 2000,Wyłącznie spisem gatunków chronionych,Zbiorem badań terenowych służących scharakteryzowaniu elementów środowiska przyrodniczego,4,Art. 3 definiuje inwentaryzację przyrodniczą jako zbiór badań terenowych.
Co obejmuje ocena oddziaływania przedsięwzięcia na środowisko według definicji ustawowej?,"W szczególności weryfikację raportu, uzyskanie wymaganych opinii i uzgodnień oraz zapewnienie udziału społeczeństwa",Wyłącznie sporządzenie raportu przez inwestora,Wyłącznie kontrolę po zakończeniu inwestycji,Tylko analizę kosztów przedsięwzięcia,1,Art. 3 wskazuje te trzy podstawowe elementy postępowania OOŚ.
Czym jest organizacja ekologiczna w rozumieniu ustawy?,Każdą spółką prowadzącą działalność środowiskową,"Organizacją społeczną, której statutowym celem jest ochrona środowiska",Wyłącznie fundacją posiadającą status OPP,Każdą jednostką samorządu terytorialnego,2,Art. 3 definiuje organizację ekologiczną przez jej społeczny charakter i statutowy cel ochrony środowiska.
Co ustawa rozumie przez przedsięwzięcie?,Wyłącznie budowę obiektu budowlanego,Wyłącznie inwestycję finansowaną ze środków publicznych,"Zamierzenie budowlane lub inną ingerencję w środowisko polegającą na przekształceniu lub zmianie sposobu wykorzystania terenu, w tym wydobywanie kopalin",Każdą czynność gospodarczą bez związku z terenem,3,Definicja przedsięwzięcia w art. 3 obejmuje zamierzenia budowlane i inne ingerencje w środowisko.
Jak traktuje się przedsięwzięcia powiązane technologicznie?,Zawsze jako odrębne przedsięwzięcia,"Jako jedno tylko wtedy, gdy mają jednego inwestora",Jako jedno wyłącznie na obszarze tej samej gminy,"Jako jedno przedsięwzięcie, także gdy są realizowane przez różne podmioty",4,"Art. 3 stanowi, że przedsięwzięcia powiązane technologicznie kwalifikuje się jako jedno."
Co obejmuje strategiczna ocena oddziaływania na środowisko?,"M.in. uzgodnienie zakresu prognozy, sporządzenie prognozy, uzyskanie opinii i zapewnienie udziału społeczeństwa",Wyłącznie wydanie decyzji środowiskowej,Tylko monitoring po przyjęciu dokumentu,Wyłącznie analizę wpływu na obszary Natura 2000,1,Definicja w art. 3 wymienia te elementy jako składowe strategicznej OOŚ.
Czy oddziaływanie na środowisko w rozumieniu ustawy obejmuje również oddziaływanie na zdrowie ludzi?,Nie,Tak,Tylko w przypadku zakładów przemysłowych,Tylko na obszarach Natura 2000,2,"Art. 3 ust. 2 wprost stanowi, że oddziaływanie na środowisko obejmuje również oddziaływanie na zdrowie ludzi."
Kto ma prawo do informacji o środowisku i jego ochronie?,Tylko właściciel nieruchomości,Tylko osoba wykazująca interes prawny,Każdy,Wyłącznie organizacja ekologiczna,3,Art. 4 przyznaje to prawo każdemu na warunkach określonych ustawą.
Kto ma prawo uczestniczenia w postępowaniu wymagającym udziału społeczeństwa?,Wyłącznie strony postępowania według KPA,Tylko mieszkańcy danej gminy,Tylko organizacje ekologiczne,"Każdy, na warunkach określonych ustawą",4,Art. 5 przyznaje każdemu prawo uczestniczenia na warunkach określonych ustawą.
Kto jest obowiązany do udostępniania informacji o środowisku i jego ochronie?,Władze publiczne,Wyłącznie organy gminy,Tylko GDOŚ i RDOŚ,Wyłącznie sądy administracyjne,1,Art. 8 nakłada obowiązek udostępniania informacji na władze publiczne.
Czy władze publiczne mają obowiązek pomagać przy wyszukiwaniu informacji o środowisku?,Nie,"Tak, powinny udzielać niezbędnej pomocy i wskazówek",Tylko po wniesieniu opłaty,Wyłącznie organizacjom ekologicznym,2,Art. 8 ust. 2 nakłada obowiązek udzielania niezbędnej pomocy i wskazówek.
Czy informacja o emisjach i zanieczyszczeniach może być informacją o środowisku podlegającą udostępnieniu?,Nie,Tylko jeżeli dotyczy obszaru Natura 2000,Tak,Wyłącznie po zakończeniu kontroli WIOŚ,3,Art. 9 wyraźnie obejmuje informacje o emisjach i zanieczyszczeniach.
W jakich formach mogą być udostępniane informacje o środowisku?,Wyłącznie pisemnej,Wyłącznie elektronicznej,Wyłącznie ustnej i papierowej,"M.in. ustnej, pisemnej, wizualnej, dźwiękowej i elektronicznej",4,Art. 9 ust. 2 przewiduje różne formy udostępniania informacji.
"Co powinny zrobić władze publiczne, gdy udostępniają informację przekazaną przez osobę trzecią?",Wskazać źródło jej pochodzenia,Usunąć dane o źródle,Uzyskać zgodę wojewody,Pobrać dodatkową opłatę,1,Art. 11 nakazuje wskazanie źródła informacji przekazanej przez osobę trzecią.
W jakim trybie co do zasady udostępnia się informację o środowisku?,Wyłącznie ustnie,Na pisemny wniosek,Wyłącznie przez BIP,Z urzędu w każdym przypadku,2,"Art. 12 ust. 1 przewiduje zasadę pisemnego wniosku, z ustawowymi wyjątkami."
Która informacja może być udostępniona bez pisemnego wniosku?,Każda informacja objęta tajemnicą przedsiębiorstwa,Wyłącznie decyzja administracyjna,Informacja niewymagająca wyszukiwania,Tylko raport OOŚ,3,Art. 12 ust. 2 pozwala bez pisemnego wniosku udostępnić informację niewymagającą wyszukiwania.
Czy w razie bezpośredniego zagrożenia dla zdrowia ludzi lub środowiska informacje umożliwiające ograniczenie szkód mogą być udostępniane bez pisemnego wniosku?,Nie,Tylko za zgodą wojewody,Wyłącznie po ogłoszeniu stanu klęski żywiołowej,Tak,4,Art. 12 ust. 2 pkt 2 przewiduje taki wyjątek od wymogu pisemnego wniosku.
